state,end,value,type
Alabama,8/9/2003,5166,h
Alabama,8/16/2003,5897,h
Alabama,8/23/2003,4238,h
Alabama,8/30/2003,4234,h
Alabama,9/6/2003,4734,h
Alabama,9/13/2003,4290,h
Alabama,9/20/2003,4057,h
Alabama,9/27/2003,4876,h
Alabama,10/4/2003,4670,h
Alabama,10/11/2003,4565,h
Alabama,10/18/2003,4639,h
Alabama,10/25/2003,4271,h
Alabama,11/1/2003,5123,h
Alabama,11/8/2003,3945,h
Alabama,11/15/2003,5783,h
Alabama,11/22/2003,2964,h
Alabama,11/29/2003,9158,h
Alabama,12/6/2003,6190,h
Alabama,12/13/2003,4772,h
Alabama,12/20/2003,5815,h
Alabama,12/27/2003,11674,h
Alabama,1/3/2004,15882,h
Alabama,1/10/2004,9032,h
Alabama,1/17/2004,5454,h
Alabama,1/24/2004,5690,h
Alabama,1/31/2004,4776,h
Alabama,2/7/2004,5422,h
Alabama,2/14/2004,4631,h
Alabama,2/21/2004,3855,h
Alabama,2/28/2004,4967,h
Alabama,3/6/2004,3929,h
Alabama,3/13/2004,4146,h
Alabama,3/20/2004,4568,h
Alabama,3/27/2004,4740,h
Alabama,4/3/2004,4541,h
Alabama,4/10/2004,4026,h
Alabama,4/17/2004,4334,h
Alabama,4/24/2004,3828,h
Alabama,5/1/2004,4021,h
Alabama,5/8/2004,5266,h
Alabama,5/15/2004,5414,h
Alabama,5/22/2004,5008,h
Alabama,5/29/2004,4404,h
Alabama,6/5/2004,5288,h
Alabama,6/12/2004,4064,h
Alabama,6/19/2004,3766,h
Alabama,6/26/2004,5312,h
Alabama,7/3/2004,6227,h
Alabama,7/10/2004,9119,h
Alabama,7/17/2004,5662,h
Alabama,7/24/2004,4668,h
Alabama,7/31/2004,4258,h
Alabama,8/7/2004,4067,h
Alabama,8/14/2004,3456,h
Alabama,8/21/2004,3509,h
Alabama,8/28/2004,3923,h
Alabama,9/4/2004,3367,h
Alabama,9/11/2004,2678,h
Alabama,9/18/2004,9342,h
Alabama,9/25/2004,8395,h
Alabama,10/2/2004,6711,h
Alabama,10/9/2004,4984,h
Alabama,10/16/2004,4569,h
Alabama,10/23/2004,4065,h
Alabama,10/30/2004,4220,h
Alabama,11/6/2004,3611,h
Alabama,11/13/2004,3613,h
Alabama,11/20/2004,2603,h
Alabama,11/27/2004,7689,h
Alabama,12/4/2004,5333,h
Alabama,12/11/2004,4328,h
Alabama,12/18/2004,4236,h
Alabama,12/25/2004,7965,h
Alabama,1/1/2005,15237,h
Alabama,1/8/2005,9522,h
Alabama,1/15/2005,4716,h
Alabama,1/22/2005,4242,h
Alabama,1/29/2005,4186,h
Alabama,2/5/2005,4242,h
Alabama,2/12/2005,3805,h
Alabama,2/19/2005,2707,h
Alabama,2/26/2005,3703,h
Alabama,3/5/2005,3994,h
Alabama,3/12/2005,3367,h
Alabama,3/19/2005,3285,h
Alabama,3/26/2005,4498,h
Alabama,4/2/2005,4469,h
Alabama,4/9/2005,3737,h
Alabama,4/16/2005,4075,h
Alabama,4/23/2005,3894,h
Alabama,4/30/2005,3829,h
Alabama,5/7/2005,4367,h
Alabama,5/14/2005,4449,h
Alabama,5/21/2005,4762,h
Alabama,5/28/2005,4870,h
Alabama,6/4/2005,5014,h
Alabama,6/11/2005,4092,h
Alabama,6/18/2005,3709,h
Alabama,6/25/2005,4282,h
Alabama,7/2/2005,5849,h
Alabama,7/9/2005,10003,h
Alabama,7/16/2005,5737,h
Alabama,7/23/2005,4619,h
Alabama,7/30/2005,3751,h
Alabama,8/6/2005,3485,h
Alabama,8/13/2005,3849,h
Alabama,8/20/2005,3183,h
Alabama,8/27/2005,5595,h
Alabama,9/3/2005,8376,h
Alabama,9/10/2005,6464,h
Alabama,9/17/2005,4113,h
Alabama,9/24/2005,3936,h
Alabama,10/1/2005,4963,h
Alabama,10/8/2005,3308,h
Alabama,10/15/2005,3562,h
Alabama,10/22/2005,3124,h
Alabama,10/29/2005,4435,h
Alabama,11/5/2005,3144,h
Alabama,11/12/2005,3781,h
Alabama,11/19/2005,2496,h
Alabama,11/26/2005,5820,h
Alabama,12/3/2005,3893,h
Alabama,12/10/2005,3622,h
Alabama,12/17/2005,3962,h
Alabama,12/24/2005,7161,h
Alabama,12/31/2005,15236,h
Alabama,1/7/2006,8235,h
Alabama,1/14/2006,3871,h
Alabama,1/21/2006,4108,h
Alabama,1/28/2006,3281,h
Alabama,2/4/2006,3794,h
Alabama,2/11/2006,3231,h
Alabama,2/18/2006,2962,h
Alabama,2/25/2006,3933,h
Alabama,3/4/2006,3891,h
Alabama,3/11/2006,3597,h
Alabama,3/18/2006,3489,h
Alabama,3/25/2006,5319,h
Alabama,4/1/2006,3781,h
Alabama,4/8/2006,3117,h
Alabama,4/15/2006,4038,h
Alabama,4/22/2006,4890,h
Alabama,4/29/2006,3555,h
Alabama,5/6/2006,4006,h
Alabama,5/13/2006,4499,h
Alabama,5/20/2006,4282,h
Alabama,5/27/2006,4223,h
Alabama,6/3/2006,5481,h
Alabama,6/10/2006,4108,h
Alabama,6/17/2006,3607,h
Alabama,6/24/2006,3730,h
Alabama,7/1/2006,5644,h
Alabama,7/8/2006,11242,h
Alabama,7/15/2006,6207,h
Alabama,7/22/2006,4398,h
Alabama,7/29/2006,3633,h
Alabama,8/5/2006,3711,h
Alabama,8/12/2006,3789,h
Alabama,8/19/2006,3303,h
Alabama,8/26/2006,3471,h
Alabama,9/2/2006,3283,h
Alabama,9/9/2006,3965,h
Alabama,9/16/2006,3894,h
Alabama,9/23/2006,3341,h
Alabama,9/30/2006,5433,h
Alabama,10/7/2006,4322,h
Alabama,10/14/2006,4733,h
Alabama,10/21/2006,4636,h
Alabama,10/28/2006,4411,h
Alabama,11/4/2006,3531,h
Alabama,11/11/2006,4498,h
Alabama,11/18/2006,3469,h
Alabama,11/25/2006,7374,h
Alabama,12/2/2006,4952,h
Alabama,12/9/2006,5186,h
Alabama,12/16/2006,4440,h
Alabama,12/23/2006,8056,h
Alabama,12/30/2006,13183,h
Alabama,1/6/2007,11824,h
Alabama,1/13/2007,5725,h
Alabama,1/20/2007,4110,h
Alabama,1/27/2007,3531,h
Alabama,2/3/2007,3585,h
Alabama,2/10/2007,3882,h
Alabama,2/17/2007,3171,h
Alabama,2/24/2007,4361,h
Alabama,3/3/2007,4021,h
Alabama,3/10/2007,4570,h
Alabama,3/17/2007,3462,h
Alabama,3/24/2007,4408,h
Alabama,3/31/2007,4728,h
Alabama,4/7/2007,3896,h
Alabama,4/14/2007,3579,h
Alabama,4/21/2007,3455,h
Alabama,4/28/2007,3928,h
Alabama,5/5/2007,3939,h
Alabama,5/12/2007,4381,h
Alabama,5/19/2007,3958,h
Alabama,5/26/2007,4529,h
Alabama,6/2/2007,4221,h
Alabama,6/9/2007,3980,h
Alabama,6/16/2007,3489,h
Alabama,6/23/2007,3857,h
Alabama,6/30/2007,5737,h
Alabama,7/7/2007,10869,h
Alabama,7/14/2007,6125,h
Alabama,7/21/2007,4115,h
Alabama,7/28/2007,3749,h
Alabama,8/4/2007,4210,h
Alabama,8/11/2007,4183,h
Alabama,8/18/2007,3281,h
Alabama,8/25/2007,3870,h
Alabama,9/1/2007,3830,h
Alabama,9/8/2007,3879,h
Alabama,9/15/2007,3670,h
Alabama,9/22/2007,3441,h
Alabama,9/29/2007,4402,h
Alabama,10/6/2007,4395,h
Alabama,10/13/2007,3999,h
Alabama,10/20/2007,3555,h
Alabama,10/27/2007,4286,h
Alabama,11/3/2007,4479,h
Alabama,11/10/2007,4047,h
Alabama,11/17/2007,2737,h
Alabama,11/24/2007,6872,h
Alabama,12/1/2007,5102,h
Alabama,12/8/2007,4278,h
Alabama,12/15/2007,5291,h
Alabama,12/22/2007,5807,h
Alabama,12/29/2007,12507,h
Alabama,1/5/2008,11335,h
Alabama,1/12/2008,6792,h
Alabama,1/19/2008,4147,h
Alabama,1/26/2008,4997,h
Alabama,2/2/2008,4563,h
Alabama,2/9/2008,4390,h
Alabama,2/16/2008,5276,h
Alabama,2/23/2008,4573,h
Alabama,3/1/2008,4312,h
Alabama,3/8/2008,4197,h
Alabama,3/15/2008,3776,h
Alabama,3/22/2008,5340,h
Alabama,3/29/2008,5793,h
Alabama,4/5/2008,4686,h
Alabama,4/12/2008,4308,h
Alabama,4/19/2008,5005,h
Alabama,4/26/2008,4030,h
Alabama,5/3/2008,5066,h
Alabama,5/10/2008,4729,h
Alabama,5/17/2008,5064,h
Alabama,5/24/2008,5549,h
Alabama,5/31/2008,5023,h
Alabama,6/7/2008,5547,h
Alabama,6/14/2008,4117,h
Alabama,6/21/2008,4743,h
Alabama,6/28/2008,5338,h
Alabama,7/5/2008,10611,h
Alabama,7/12/2008,7577,h
Alabama,7/19/2008,5287,h
Alabama,7/26/2008,4856,h
Alabama,8/2/2008,4866,h
Alabama,8/9/2008,4628,h
Alabama,8/16/2008,5796,h
Alabama,8/23/2008,4624,h
Alabama,8/30/2008,5044,h
Alabama,9/6/2008,5822,h
Alabama,9/13/2008,4696,h
Alabama,9/20/2008,4789,h
Alabama,9/27/2008,8260,h
Alabama,10/4/2008,6726,h
Alabama,10/11/2008,6205,h
Alabama,10/18/2008,6880,h
Alabama,10/25/2008,7968,h
Alabama,11/1/2008,9016,h
Alabama,11/8/2008,8292,h
Alabama,11/15/2008,9555,h
Alabama,11/22/2008,6824,h
Alabama,11/29/2008,14710,h
Alabama,12/6/2008,11037,h
Alabama,12/13/2008,13879,h
Alabama,12/20/2008,13080,h
Alabama,12/27/2008,17354,h
Alabama,1/3/2009,20894,h
Alabama,1/10/2009,14585,h
Alabama,1/17/2009,11611,h
Alabama,1/24/2009,11678,h
Alabama,1/31/2009,11389,h
Alabama,2/7/2009,9775,h
Alabama,2/14/2009,9563,h
Alabama,2/21/2009,10284,h
Alabama,2/28/2009,11253,h
Alabama,3/7/2009,8529,h
Alabama,3/14/2009,9061,h
Alabama,3/21/2009,11616,h
Alabama,3/28/2009,9195,h
Alabama,4/4/2009,7931,h
Alabama,4/11/2009,8041,h
Alabama,4/18/2009,8619,h
Alabama,4/25/2009,6955,h
Alabama,5/2/2009,8645,h
Alabama,5/9/2009,8524,h
Alabama,5/16/2009,9083,h
Alabama,5/23/2009,8485,h
Alabama,5/30/2009,10224,h
Alabama,6/6/2009,10058,h
Alabama,6/13/2009,8132,h
Alabama,6/20/2009,8677,h
Alabama,6/27/2009,7879,h
Alabama,7/4/2009,12242,h
Alabama,7/11/2009,10792,h
